id	file_name_f	file_name_r	plate	well	sequencing_batch	label	environment	location	site	date
23	24025-0023_all_R1.fastq	24025-0023_all_R2.fastq	plate_1	G3	1	6_MS_AQ	seawater	mali_ston_bay	aquaculture	03.05.2021
24	24025-0024_all_R1.fastq	24025-0024_all_R2.fastq	plate_1	H3	1+4	6_MS_CTRL	seawater	mali_ston_bay	control	03.05.2021
25	24025-0025_all_R1.fastq	24025-0025_all_R2.fastq	plate_1	A4	1	1_LK_SED_AQ	sediment	lim_bay	aquaculture	10.07.2020
26	24025-0026_all_R1.fastq	24025-0026_all_R2.fastq	plate_1	B4	1	1_LK_SED_CTRL	sediment	lim_bay	control	10.07.2020
27	24025-0027_all_R1.fastq	24025-0027_all_R2.fastq	plate_1	C4	1	1_MS_SED_AQ	sediment	mali_ston_bay	aquaculture	07.07.2020
28	24025-0028_all_R1.fastq	24025-0028_all_R2.fastq	plate_1	D4	1	1_MS_SED_CTRL	sediment	mali_ston_bay	control	07.07.2020
29	24025-0029_all_R1.fastq	24025-0029_all_R2.fastq	plate_1	E4	1	2_LK_SED_AQ	sediment	lim_bay	aquaculture	19.09.2020
30	24025-0030_all_R1.fastq	24025-0030_all_R2.fastq	plate_1	F4	1	2_LK_SED_CTRL	sediment	lim_bay	control	19.09.2020
31	24025-0031_all_R1.fastq	24025-0031_all_R2.fastq	plate_1	G4	1	2_MS_SED_AQ	sediment	mali_ston_bay	aquaculture	15.09.2020
32	24025-0032_all_R1.fastq	24025-0032_all_R2.fastq	plate_1	H4	1+4	2_MS_SED_CTRL	sediment	mali_ston_bay	control	15.09.2020
33	24025-0033_all_R1.fastq	24025-0033_all_R2.fastq	plate_1	A5	1	3_LK_SED_AQ	sediment	lim_bay	aquaculture	14.11.2020
34	24025-0034_all_R1.fastq	24025-0034_all_R2.fastq	plate_1	B5	1	3_LK_SED_CTRL	sediment	lim_bay	control	14.11.2020
35	24025-0035_all_R1.fastq	24025-0035_all_R2.fastq	plate_1	C5	1	3_MS_SED_AQ	sediment	mali_ston_bay	aquaculture	10.11.2020
36	24025-0036_all_R1.fastq	24025-0036_all_R2.fastq	plate_1	D5	1	3_MS_SED_CTRL	sediment	mali_ston_bay	control	10.11.2020
37	24025-0037_all_R1.fastq	24025-0037_all_R2.fastq	plate_1	E5	1	4_LK_SED_AQ	sediment	lim_bay	aquaculture	15.01.2021
38	24025-0038_all_R1.fastq	24025-0038_all_R2.fastq	plate_1	F5	1	4_LK_SED_CTRL	sediment	lim_bay	control	15.01.2021
39	24025-0039_all_R1.fastq	24025-0039_all_R2.fastq	plate_1	G5	1	4_MS_SED_AQ	sediment	mali_ston_bay	aquaculture	12.01.2021
40	24025-0040_all_R1.fastq	24025-0040_all_R2.fastq	plate_1	H5	1	4_MS_SED_CTRL	sediment	mali_ston_bay	control	12.01.2021
